code;name;country_id;icao
UGL;Union Glacier Blue-Ice Runway;AQ;SCGC
SXW;Sauren;PG;AYSV
NDV;USN Heliport;US;
EAP;EuroAirport Basel-Mulhouse-Freiburg Airport;CH;
NET;New Bight;BS;
MSK;Mastic Point;BS;
LYG;Lianyungang Airport;CN;ZSLG
YIG;Big Bay Marina;CA;CAF6
ACI;Alderney Airport;GB;EGJA
ANT;St Anton;AT;
APW;Faleolo Airport;WS;NSFA
LYI;Linyi Airport;CN;ZSLY
LHB;Lost Harbor Sea Port;US;
MZS;Mostyn;MY;
MDE;Jose Maria Cordova International Airport;CO;SKRG
MDH;Southern Illinois;US;KMDH
YFL;Fort Reliance;CA;CJN8
YEP;Estevan Point;CA;
JTN;Antônio Ribeiro Nogueira Jr. State Airport;BR;SDIM
YGA;Gagnon;CA;CTU4
MDK;Mbandaka;CD;FZEA
LMV;Madivaru Airport;MV;
LZC;Lazaro Cardenas Airport;MX;MMLC
AQP;Rodriguez Ballon International Airport;PE;SPQU
NKI;Naukiti;US;AK62
YSV;Saglek;CA;
AST;Astoria;US;KAST
TYC;Taiyuan Yaocheng Airport;CN;ZBXX
YTI;Triple Island;CA;
LZH;Liuzhou Airport;CN;ZGZH
MEC;Manta Airport;EC;SEMT
DZH;Dazhou Jinya Airport;CN;
EES;Berenice International Airport;EG;
YHA;Port Hope Simpson;CA;CCP4
KFZ;Kukës International Airport;AL;LAKU
JTA;Pedro Teixeira Castelo Airport;BR;SDZG
KJB;Uyyalawada Narasimha Reddy Airport;IN;VOKU
YPF;Esquimalt;CA;
EHU;Ezhou Huahu Airport;CN;ZHEC
FZL;Fuzuli International Airport;AZ;UBBF
KXB;Sangia Nibandera Airport;ID;WAWP
GDR;Angra dos Reis Airport;BR;SDAG
HLJ;Beidahuang General Airport;CN;
HZU;Chengdu Huaizhou Airport;CN;
NGR;Ningerum;PG;
MXQ;Lorenzo Airport;BR;SNCL
AFK;Ampara Kondavattavan Tank Airport;LK;
JHF;São Paulo Catarina Executive Airport;BR;SBJH
AGK;Kagua;PG;
BLL;Billund Airport;DK;EKBI
CBA;Corner Bay;US;
JSB;Walfrido Salmito de Almeida Airport;BR;SWBE
ATH;Eleftherios Venizelos International Airport;GR;LGAV
TXC;Balbasovo Air Base;BY;UMIO
YLE;Wha Ti;CA;CEM3
UHS;Aleksandrovsk-Sakhalinskiy Airport;RU;
MEH;Mehamn Airport;NO;ENMH
ZMF;Beverello Harbor;IT;
MEI;Key Field;US;KMEI
MEL;Tullamarine Airport;AU;YMML
MEM;Memphis International Airport;US;KMEM
MEN;Brenoux;FR;LFNB
MHB;Mechanics Bay;NZ;
MBS;MBS International Airport;US;KMBS
MBW;Moorabbin;AU;YMMB
MBY;Moberly;US;KMBY
AVP;Wilkes-Barre/Scranton International Airport;US;KAVP
DIA;Doha International Airport;QA;OTBD
GNJ;Ganja International Airport;AZ;UBBG
YGQ;Geraldton;CA;CYGQ
GYO;Bandar Udara Senubung;ID;WIMG
HIT;Haivaro;PG;AYHO
YNN;Yandi;AU;
MEO;Dare County Regional;US;KMQI
HSF;Suifenhe Dongning Airport;CN;
MEY;Meghauli;NP;VNMG
YOG;Ogoki;CA;CYKP
YEL;Elliot Lake;CA;CYEL
INR;Kincheloe AFB;US;
YFH;Fort Hope;CA;CYFH
RDL;Al Bardawil International Airport;EG;
VCC;New Vacaria Airport;BR;SNEE
CSP;Cape Spencer C G Heliport;US;
MKZ;Malacca International Airport;MY;WMKM
MLC;Mc Alester;US;KMLC
YFS;Fort Simpson;CA;CYFS
GDB;Gondia Airport;IN;VAGD
AEI;Algeciras;ES;
LCO;Lague;CG;FCBL
MLE;Male International Airport;MV;VRMM
AQG;Anqing Tianzhushan Airport;CN;ZSAQ
VBM;Blue Mountain;US;
YHU;St. Hubert Airport;CA;CYHU
YIV;Island Lake Airport;CA;CYIV
QMK;Heliport;GL;
JCS;Aeroporto De Crateus Airport;BR;SNWS
AQI;Qaisumah Airport;SA;OEPA
YGW;Kuujjuarapik Airport;CA;CYGW
AQJ;King Hussein International Airport;JO;OJAQ
YHF;Hearst;CA;CYHF
ATP;Airstrip;PG;AYAI
AUP;Agaun;PG;AYAG
MLG;Abdul Rachman Saleh Airport;ID;WARA
LVI;Livingstone Airport;ZM;FLHN
AHA;Naha AFB;JP;
AME;Alto Molocue;MZ;
BCZ;Bickerton Island;AU;
AXO;Bandar Udara Pantar;ID;
MDN;Jefferson Proving Grd;US;KIMS
YLR;Leaf Rapids;CA;CYLR
CNY;Canyonlands Field;US;KCNY
CTV;Catoca Airport;AO;
CWP;Campbellpore;PK;
YLJ;Meadow Lake;CA;CYLJ
MDG;Mudanjiang Airport;CN;ZYMD
BCP;Bambu;PG;AYBC
MEK;Meknes;MA;GMFM
JPO;Brigadeiro Firmino Ayres Airport;BR;SNTS
JPE;Nagib Demachki Airport;BR;SNEB
JPY;Paraty Airport;BR;SDTK
YJF;Fort Liard;CA;CYJF
YCM;Niagara District Airport;CA;CYSN
BHL;Bahia Angeles;MX;
MEA;Macae;BR;SBME
MEF;Melfi;TD;
NNK;Naknek;US;5NK
WTL;Tuntutuliak;US;A61
YPS;Port Hawkesbury;CA;CYPD
OOD;Gudai-Darri Airstrip;AU;YKDD
YPR;Digby Island Airport;CA;CYPR
VSK;Vista Field;US;
BNF;Warm Spring Bay SPB;US;
CGX;Merrill C Meigs;US;
CHW;Jiuhuang;CN;
COD;Yellowstone Regional Airport;US;KCOD
MEG;Malange;AO;FNMA
XOF;Stratford International Rail Station;GB;
MEP;Mersing;MY;WMAU
AKV;Akulivik;CA;CYKO
ANH;Anuha Island Resort;SB;
YKJ;Key Lake;CA;CYKJ
YMG;Manitouwadge;CA;CYMG
BDO;Husein Sastranegara Airport;ID;WICC
YUD;Umiujaq;CA;CYMU
YFJ;Snare Lake;CA;CYWE
DSY;Dara Sakor International Airport;KH;
YPC;Paulatuk;CA;CYPC
BDQ;Vadodara Airport;IN;VABO
LAK;Aklavik;CA;CYKD
MEJ;Meadville;US;KGKJ
EWR;Newark Liberty International Airport;US;KEWR
